,city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm
0,1,1990,18,0,0.5782264318744081,0.5782264318744081,0.5782264318744081,0.5782264318744081,0.5782264318744081,0.5782264318744081,0.5782264318744081,0.5782264318744081,0.5782264318744081,0.5782264318744081,0.5782264318744081,0.5782264318744081,0.5782264318744081,0.5782264318744081,0.5782264318744081,0.5782264318744081,0.5782264318744081
1,1,1990,19,1,0.6299426278234664,0.6299426278234664,0.6299426278234664,0.6299426278234664,0.6299426278234664,0.6299426278234664,0.6299426278234664,0.6299426278234664,0.6299426278234664,0.6299426278234664,0.6299426278234664,0.6299426278234664,0.6299426278234664,0.6299426278234664,0.6299426278234664,0.6299426278234664,0.6299426278234664
2,1,1990,20,2,0.47944084405205245,0.47944084405205245,0.47944084405205245,0.47944084405205245,0.47944084405205245,0.47944084405205245,0.47944084405205245,0.47944084405205245,0.47944084405205245,0.47944084405205245,0.47944084405205245,0.47944084405205245,0.47944084405205245,0.47944084405205245,0.47944084405205245,0.47944084405205245,0.47944084405205245
3,1,1990,21,3,0.5848230349403585,0.5848230349403585,0.5848230349403585,0.5848230349403585,0.5848230349403585,0.5848230349403585,0.5848230349403585,0.5848230349403585,0.5848230349403585,0.5848230349403585,0.5848230349403585,0.5848230349403585,0.5848230349403585,0.5848230349403585,0.5848230349403585,0.5848230349403585,0.5848230349403585
4,1,1990,22,4,0.6586981448099407,0.6586981448099407,0.6586981448099407,0.6586981448099407,0.6586981448099407,0.6586981448099407,0.6586981448099407,0.6586981448099407,0.6586981448099407,0.6586981448099407,0.6586981448099407,0.6586981448099407,0.6586981448099407,0.6586981448099407,0.6586981448099407,0.6586981448099407,0.6586981448099407
6,1,1990,24,6,0.567620784925024,0.567620784925024,0.567620784925024,0.567620784925024,0.567620784925024,0.567620784925024,0.567620784925024,0.567620784925024,0.567620784925024,0.567620784925024,0.567620784925024,0.567620784925024,0.567620784925024,0.567620784925024,0.567620784925024,0.567620784925024,0.567620784925024
7,1,1990,25,7,0.5234488120636719,0.5234488120636719,0.5234488120636719,0.5234488120636719,0.5234488120636719,0.5234488120636719,0.5234488120636719,0.5234488120636719,0.5234488120636719,0.5234488120636719,0.5234488120636719,0.5234488120636719,0.5234488120636719,0.5234488120636719,0.5234488120636719,0.5234488120636719,0.5234488120636719
8,1,1990,26,8,0.5561951137269763,0.5561951137269763,0.5561951137269763,0.5561951137269763,0.5561951137269763,0.5561951137269763,0.5561951137269763,0.5561951137269763,0.5561951137269763,0.5561951137269763,0.5561951137269763,0.5561951137269763,0.5561951137269763,0.5561951137269763,0.5561951137269763,0.5561951137269763,0.5561951137269763
10,1,1990,28,10,0.6550627039741983,0.6550627039741983,0.6550627039741983,0.6550627039741983,0.6550627039741983,0.6550627039741983,0.6550627039741983,0.6550627039741983,0.6550627039741983,0.6550627039741983,0.6550627039741983,0.6550627039741983,0.6550627039741983,0.6550627039741983,0.6550627039741983,0.6550627039741983,0.6550627039741983
11,1,1990,29,11,0.7630052292399654,0.7630052292399654,0.7630052292399654,0.7630052292399654,0.7630052292399654,0.7630052292399654,0.7630052292399654,0.7630052292399654,0.7630052292399654,0.7630052292399654,0.7630052292399654,0.7630052292399654,0.7630052292399654,0.7630052292399654,0.7630052292399654,0.7630052292399654,0.7630052292399654
12,1,1990,30,12,0.6088042614145461,0.6088042614145461,0.6088042614145461,0.6088042614145461,0.6088042614145461,0.6088042614145461,0.6088042614145461,0.6088042614145461,0.6088042614145461,0.6088042614145461,0.6088042614145461,0.6088042614145461,0.6088042614145461,0.6088042614145461,0.6088042614145461,0.6088042614145461,0.6088042614145461
16,1,1990,34,16,0.6521743598972717,0.6521743598972717,0.6521743598972717,0.6521743598972717,0.6521743598972717,0.6521743598972717,0.6521743598972717,0.6521743598972717,0.6521743598972717,0.6521743598972717,0.6521743598972717,0.6521743598972717,0.6521743598972717,0.6521743598972717,0.6521743598972717,0.6521743598972717,0.6521743598972717
17,1,1990,35,17,0.7206919780089176,0.7206919780089176,0.7206919780089176,0.7206919780089176,0.7206919780089176,0.7206919780089176,0.7206919780089176,0.7206919780089176,0.7206919780089176,0.7206919780089176,0.7206919780089176,0.7206919780089176,0.7206919780089176,0.7206919780089176,0.7206919780089176,0.7206919780089176,0.7206919780089176
18,1,1990,36,18,0.7015580788734309,0.7015580788734309,0.7015580788734309,0.7015580788734309,0.7015580788734309,0.7015580788734309,0.7015580788734309,0.7015580788734309,0.7015580788734309,0.7015580788734309,0.7015580788734309,0.7015580788734309,0.7015580788734309,0.7015580788734309,0.7015580788734309,0.7015580788734309,0.7015580788734309
19,1,1990,37,19,0.5840941973881462,0.5840941973881462,0.5840941973881462,0.5840941973881462,0.5840941973881462,0.5840941973881462,0.5840941973881462,0.5840941973881462,0.5840941973881462,0.5840941973881462,0.5840941973881462,0.5840941973881462,0.5840941973881462,0.5840941973881462,0.5840941973881462,0.5840941973881462,0.5840941973881462
20,1,1990,38,20,0.6588621496596735,0.6588621496596735,0.6588621496596735,0.6588621496596735,0.6588621496596735,0.6588621496596735,0.6588621496596735,0.6588621496596735,0.6588621496596735,0.6588621496596735,0.6588621496596735,0.6588621496596735,0.6588621496596735,0.6588621496596735,0.6588621496596735,0.6588621496596735,0.6588621496596735
21,1,1990,39,21,0.5711195550526559,0.5711195550526559,0.5711195550526559,0.5711195550526559,0.5711195550526559,0.5711195550526559,0.5711195550526559,0.5711195550526559,0.5711195550526559,0.5711195550526559,0.5711195550526559,0.5711195550526559,0.5711195550526559,0.5711195550526559,0.5711195550526559,0.5711195550526559,0.5711195550526559
22,1,1990,40,22,0.694068524068969,0.694068524068969,0.694068524068969,0.694068524068969,0.694068524068969,0.694068524068969,0.694068524068969,0.694068524068969,0.694068524068969,0.694068524068969,0.694068524068969,0.694068524068969,0.694068524068969,0.694068524068969,0.694068524068969,0.694068524068969,0.694068524068969
23,1,1990,41,23,0.6313093349045726,0.6313093349045726,0.6313093349045726,0.6313093349045726,0.6313093349045726,0.6313093349045726,0.6313093349045726,0.6313093349045726,0.6313093349045726,0.6313093349045726,0.6313093349045726,0.6313093349045726,0.6313093349045726,0.6313093349045726,0.6313093349045726,0.6313093349045726,0.6313093349045726
25,1,1990,43,25,0.6040298615656929,0.6040298615656929,0.6040298615656929,0.6040298615656929,0.6040298615656929,0.6040298615656929,0.6040298615656929,0.6040298615656929,0.6040298615656929,0.6040298615656929,0.6040298615656929,0.6040298615656929,0.6040298615656929,0.6040298615656929,0.6040298615656929,0.6040298615656929,0.6040298615656929
26,1,1990,44,26,0.7199812903267424,0.7199812903267424,0.7199812903267424,0.7199812903267424,0.7199812903267424,0.7199812903267424,0.7199812903267424,0.7199812903267424,0.7199812903267424,0.7199812903267424,0.7199812903267424,0.7199812903267424,0.7199812903267424,0.7199812903267424,0.7199812903267424,0.7199812903267424,0.7199812903267424
27,1,1990,45,27,0.6110274018209567,0.6110274018209567,0.6110274018209567,0.6110274018209567,0.6110274018209567,0.6110274018209567,0.6110274018209567,0.6110274018209567,0.6110274018209567,0.6110274018209567,0.6110274018209567,0.6110274018209567,0.6110274018209567,0.6110274018209567,0.6110274018209567,0.6110274018209567,0.6110274018209567
28,1,1990,46,28,0.7621305367080574,0.7621305367080574,0.7621305367080574,0.7621305367080574,0.7621305367080574,0.7621305367080574,0.7621305367080574,0.7621305367080574,0.7621305367080574,0.7621305367080574,0.7621305367080574,0.7621305367080574,0.7621305367080574,0.7621305367080574,0.7621305367080574,0.7621305367080574,0.7621305367080574
29,1,1990,47,29,0.7417939353411973,0.7417939353411973,0.7417939353411973,0.7417939353411973,0.7417939353411973,0.7417939353411973,0.7417939353411973,0.7417939353411973,0.7417939353411973,0.7417939353411973,0.7417939353411973,0.7417939353411973,0.7417939353411973,0.7417939353411973,0.7417939353411973,0.7417939353411973,0.7417939353411973
30,1,1990,48,30,0.5937158152391337,0.5937158152391337,0.5937158152391337,0.5937158152391337,0.5937158152391337,0.5937158152391337,0.5937158152391337,0.5937158152391337,0.5937158152391337,0.5937158152391337,0.5937158152391337,0.5937158152391337,0.5937158152391337,0.5937158152391337,0.5937158152391337,0.5937158152391337,0.5937158152391337
31,1,1990,49,31,0.5642313513638807,0.5642313513638807,0.5642313513638807,0.5642313513638807,0.5642313513638807,0.5642313513638807,0.5642313513638807,0.5642313513638807,0.5642313513638807,0.5642313513638807,0.5642313513638807,0.5642313513638807,0.5642313513638807,0.5642313513638807,0.5642313513638807,0.5642313513638807,0.5642313513638807
32,1,1990,50,32,0.5768597247933018,0.5768597247933018,0.5768597247933018,0.5768597247933018,0.5768597247933018,0.5768597247933018,0.5768597247933018,0.5768597247933018,0.5768597247933018,0.5768597247933018,0.5768597247933018,0.5768597247933018,0.5768597247933018,0.5768597247933018,0.5768597247933018,0.5768597247933018,0.5768597247933018
33,1,1990,51,33,0.7646816868139334,0.7646816868139334,0.7646816868139334,0.7646816868139334,0.7646816868139334,0.7646816868139334,0.7646816868139334,0.7646816868139334,0.7646816868139334,0.7646816868139334,0.7646816868139334,0.7646816868139334,0.7646816868139334,0.7646816868139334,0.7646816868139334,0.7646816868139334,0.7646816868139334
34,1,1990,52,34,0.7749229149872114,0.7749229149872114,0.7749229149872114,0.7749229149872114,0.7749229149872114,0.7749229149872114,0.7749229149872114,0.7749229149872114,0.7749229149872114,0.7749229149872114,0.7749229149872114,0.7749229149872114,0.7749229149872114,0.7749229149872114,0.7749229149872114,0.7749229149872114,0.7749229149872114
35,1,1991,1,35,0.6043578712651585,0.6043578712651585,0.6043578712651585,0.6043578712651585,0.6043578712651585,0.6043578712651585,0.6043578712651585,0.6043578712651585,0.6043578712651585,0.6043578712651585,0.6043578712651585,0.6043578712651585,0.6043578712651585,0.6043578712651585,0.6043578712651585,0.6043578712651585,0.6043578712651585
38,1,1991,4,38,0.806411846135898,0.806411846135898,0.806411846135898,0.806411846135898,0.806411846135898,0.806411846135898,0.806411846135898,0.806411846135898,0.806411846135898,0.806411846135898,0.806411846135898,0.806411846135898,0.806411846135898,0.806411846135898,0.806411846135898,0.806411846135898,0.806411846135898
39,1,1991,5,39,0.544441432829463,0.544441432829463,0.544441432829463,0.544441432829463,0.544441432829463,0.544441432829463,0.544441432829463,0.544441432829463,0.544441432829463,0.544441432829463,0.544441432829463,0.544441432829463,0.544441432829463,0.544441432829463,0.544441432829463,0.544441432829463,0.544441432829463
40,1,1991,6,40,0.8597680905822838,0.8597680905822838,0.8597680905822838,0.8597680905822838,0.8597680905822838,0.8597680905822838,0.8597680905822838,0.8597680905822838,0.8597680905822838,0.8597680905822838,0.8597680905822838,0.8597680905822838,0.8597680905822838,0.8597680905822838,0.8597680905822838,0.8597680905822838,0.8597680905822838
41,1,1991,7,41,0.5220274366993214,0.5220274366993214,0.5220274366993214,0.5220274366993214,0.5220274366993214,0.5220274366993214,0.5220274366993214,0.5220274366993214,0.5220274366993214,0.5220274366993214,0.5220274366993214,0.5220274366993214,0.5220274366993214,0.5220274366993214,0.5220274366993214,0.5220274366993214,0.5220274366993214
43,1,1991,9,43,0.6302706375229319,0.6302706375229319,0.6302706375229319,0.6302706375229319,0.6302706375229319,0.6302706375229319,0.6302706375229319,0.6302706375229319,0.6302706375229319,0.6302706375229319,0.6302706375229319,0.6302706375229319,0.6302706375229319,0.6302706375229319,0.6302706375229319,0.6302706375229319,0.6302706375229319
44,1,1991,10,44,0.6746066152340168,0.6746066152340168,0.6746066152340168,0.6746066152340168,0.6746066152340168,0.6746066152340168,0.6746066152340168,0.6746066152340168,0.6746066152340168,0.6746066152340168,0.6746066152340168,0.6746066152340168,0.6746066152340168,0.6746066152340168,0.6746066152340168,0.6746066152340168,0.6746066152340168
46,1,1991,12,46,0.5840212698982984,0.5840212698982984,0.5840212698982984,0.5840212698982984,0.5840212698982984,0.5840212698982984,0.5840212698982984,0.5840212698982984,0.5840212698982984,0.5840212698982984,0.5840212698982984,0.5840212698982984,0.5840212698982984,0.5840212698982984,0.5840212698982984,0.5840212698982984,0.5840212698982984
